Causas (lista reducida);Sexo;Provincia de residencia;Total
001-102 I-XXII.Todas las causas;Ambos sexos;Total;464.417
001-102 I-XXII.Todas las causas;Ambos sexos;Albacete;3.976
001-102 I-XXII.Todas las causas;Ambos sexos;Alicante/Alacant;18.027
001-102 I-XXII.Todas las causas;Ambos sexos;Almería;6.077
001-102 I-XXII.Todas las causas;Ambos sexos;Araba/Alava;3.172
001-102 I-XXII.Todas las causas;Ambos sexos;Asturias;13.936
001-102 I-XXII.Todas las causas;Ambos sexos;Avila;2.212
001-102 I-XXII.Todas las causas;Ambos sexos;Badajoz;7.347
001-102 I-XXII.Todas las causas;Ambos sexos;Balears, Illes;9.320
001-102 I-XXII.Todas las causas;Ambos sexos;Barcelona;51.241
001-102 I-XXII.Todas las causas;Ambos sexos;Bizkaia;13.159
001-102 I-XXII.Todas las causas;Ambos sexos;Burgos;4.258
001-102 I-XXII.Todas las causas;Ambos sexos;Cáceres;5.040
001-102 I-XXII.Todas las causas;Ambos sexos;Cádiz;11.310
001-102 I-XXII.Todas las causas;Ambos sexos;Cantabria;6.767
001-102 I-XXII.Todas las causas;Ambos sexos;Castellón/Castelló;5.854
001-102 I-XXII.Todas las causas;Ambos sexos;Ciudad Real;5.415
001-102 I-XXII.Todas las causas;Ambos sexos;Córdoba;8.616
001-102 I-XXII.Todas las causas;Ambos sexos;Coruña, A;13.980
001-102 I-XXII.Todas las causas;Ambos sexos;Cuenca;2.576
001-102 I-XXII.Todas las causas;Ambos sexos;Gipuzkoa;7.872
001-102 I-XXII.Todas las causas;Ambos sexos;Girona;6.999
001-102 I-XXII.Todas las causas;Ambos sexos;Granada;8.520
001-102 I-XXII.Todas las causas;Ambos sexos;Guadalajara;2.334
001-102 I-XXII.Todas las causas;Ambos sexos;Huelva;4.868
001-102 I-XXII.Todas las causas;Ambos sexos;Huesca;2.734
001-102 I-XXII.Todas las causas;Ambos sexos;Jaén;7.311
001-102 I-XXII.Todas las causas;Ambos sexos;León;6.651
001-102 I-XXII.Todas las causas;Ambos sexos;Lleida;4.547
001-102 I-XXII.Todas las causas;Ambos sexos;Lugo;5.406
001-102 I-XXII.Todas las causas;Ambos sexos;Madrid;51.154
001-102 I-XXII.Todas las causas;Ambos sexos;Málaga;14.745
001-102 I-XXII.Todas las causas;Ambos sexos;Murcia;13.161
001-102 I-XXII.Todas las causas;Ambos sexos;Navarra;6.317
