Causa de muerte (lista reducida);Mes de defunción;Sexo;Periodo;Total
001-008 I.Enfermedades infecciosas y parasitarias;Enero;Hombres;2022;4.355
001-008 I.Enfermedades infecciosas y parasitarias;Enero;Hombres;2021;7.184
001-008 I.Enfermedades infecciosas y parasitarias;Enero;Hombres;2020;300
001-008 I.Enfermedades infecciosas y parasitarias;Enero;Hombres;2019;317
001-008 I.Enfermedades infecciosas y parasitarias;Enero;Hombres;2018;398
001-008 I.Enfermedades infecciosas y parasitarias;Enero;Mujeres;2022;3.509
001-008 I.Enfermedades infecciosas y parasitarias;Enero;Mujeres;2021;6.092
001-008 I.Enfermedades infecciosas y parasitarias;Enero;Mujeres;2020;315
001-008 I.Enfermedades infecciosas y parasitarias;Enero;Mujeres;2019;327
001-008 I.Enfermedades infecciosas y parasitarias;Enero;Mujeres;2018;355
001-008 I.Enfermedades infecciosas y parasitarias;Febrero;Hombres;2022;2.868
001-008 I.Enfermedades infecciosas y parasitarias;Febrero;Hombres;2021;5.659
001-008 I.Enfermedades infecciosas y parasitarias;Febrero;Hombres;2020;286
001-008 I.Enfermedades infecciosas y parasitarias;Febrero;Hombres;2019;283
001-008 I.Enfermedades infecciosas y parasitarias;Febrero;Hombres;2018;244
001-008 I.Enfermedades infecciosas y parasitarias;Febrero;Mujeres;2022;2.516
001-008 I.Enfermedades infecciosas y parasitarias;Febrero;Mujeres;2021;4.239
001-008 I.Enfermedades infecciosas y parasitarias;Febrero;Mujeres;2020;303
001-008 I.Enfermedades infecciosas y parasitarias;Febrero;Mujeres;2019;302
001-008 I.Enfermedades infecciosas y parasitarias;Febrero;Mujeres;2018;300
001-008 I.Enfermedades infecciosas y parasitarias;Marzo;Hombres;2022;1.222
001-008 I.Enfermedades infecciosas y parasitarias;Marzo;Hombres;2021;2.154
001-008 I.Enfermedades infecciosas y parasitarias;Marzo;Hombres;2020;9.291
001-008 I.Enfermedades infecciosas y parasitarias;Marzo;Hombres;2019;268
001-008 I.Enfermedades infecciosas y parasitarias;Marzo;Hombres;2018;283
001-008 I.Enfermedades infecciosas y parasitarias;Marzo;Mujeres;2022;1.123
001-008 I.Enfermedades infecciosas y parasitarias;Marzo;Mujeres;2021;1.450
001-008 I.Enfermedades infecciosas y parasitarias;Marzo;Mujeres;2020;6.851
001-008 I.Enfermedades infecciosas y parasitarias;Marzo;Mujeres;2019;265
001-008 I.Enfermedades infecciosas y parasitarias;Marzo;Mujeres;2018;288
001-008 I.Enfermedades infecciosas y parasitarias;Abril;Hombres;2022;1.224
001-008 I.Enfermedades infecciosas y parasitarias;Abril;Hombres;2021;1.651
001-008 I.Enfermedades infecciosas y parasitarias;Abril;Hombres;2020;12.901
001-008 I.Enfermedades infecciosas y parasitarias;Abril;Hombres;2019;248
001-008 I.Enfermedades infecciosas y parasitarias;Abril;Hombres;2018;263
001-008 I.Enfermedades infecciosas y parasitarias;Abril;Mujeres;2022;1.197
001-008 I.Enfermedades infecciosas y parasitarias;Abril;Mujeres;2021;1.206
001-008 I.Enfermedades infecciosas y parasitarias;Abril;Mujeres;2020;14.051
001-008 I.Enfermedades infecciosas y parasitarias;Abril;Mujeres;2019;249
001-008 I.Enfermedades infecciosas y parasitarias;Abril;Mujeres;2018;276
001-008 I.Enfermedades infecciosas y parasitarias;Mayo;Hombres;2022;1.664
001-008 I.Enfermedades infecciosas y parasitarias;Mayo;Hombres;2021;1.140
001-008 I.Enfermedades infecciosas y parasitarias;Mayo;Hombres;2020;2.076
001-008 I.Enfermedades infecciosas y parasitarias;Mayo;Hombres;2019;241
