Nacional;Comunidades y Ciudades Autónomas;Causas (lista reducida);Edad;Sexo;Total
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 1 a 14 años;Hombres;1
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 1 a 14 años;Mujeres;2
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 15 a 29 años;Hombres;6
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 15 a 29 años;Mujeres;2
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 30 a 39 años;Hombres;4
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 30 a 39 años;Mujeres;3
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;Hombres;6
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;Mujeres;1
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;Hombres;19
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;Mujeres;5
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;Hombres;33
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;Mujeres;11
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;Hombres;40
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;Mujeres;23
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;Hombres;55
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;Mujeres;19
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;Hombres;83
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;Mujeres;41
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 70 a 74 años;Hombres;84
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 70 a 74 años;Mujeres;52
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 75 a 79 años;Hombres;131
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 75 a 79 años;Mujeres;108
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 80 a 84 años;Hombres;187
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 80 a 84 años;Mujeres;191
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 85 a 89 años;Hombres;186
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 85 a 89 años;Mujeres;229
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 90 a 94 años;Hombres;122
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 90 a 94 años;Mujeres;211
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 95 años y más;Hombres;37
Total Nacional;01 Andalucía;001-008 I.Enfermedades infecciosas y parasitarias;De 95 años y más;Mujeres;86
Total Nacional;01 Andalucía;009-041 II.Tumores;De 1 a 14 años;Hombres;9
Total Nacional;01 Andalucía;009-041 II.Tumores;De 1 a 14 años;Mujeres;8
Total Nacional;01 Andalucía;009-041 II.Tumores;De 15 a 29 años;Hombres;32
Total Nacional;01 Andalucía;009-041 II.Tumores;De 15 a 29 años;Mujeres;31
Total Nacional;01 Andalucía;009-041 II.Tumores;De 30 a 39 años;Hombres;89
Total Nacional;01 Andalucía;009-041 II.Tumores;De 30 a 39 años;Mujeres;63
Total Nacional;01 Andalucía;009-041 II.Tumores;De 40 a 44 años;Hombres;73
Total Nacional;01 Andalucía;009-041 II.Tumores;De 40 a 44 años;Mujeres;107
Total Nacional;01 Andalucía;009-041 II.Tumores;De 45 a 49 años;Hombres;166
Total Nacional;01 Andalucía;009-041 II.Tumores;De 45 a 49 años;Mujeres;197
Total Nacional;01 Andalucía;009-041 II.Tumores;De 50 a 54 años;Hombres;352
Total Nacional;01 Andalucía;009-041 II.Tumores;De 50 a 54 años;Mujeres;320
Total Nacional;01 Andalucía;009-041 II.Tumores;De 55 a 59 años;Hombres;729
Total Nacional;01 Andalucía;009-041 II.Tumores;De 55 a 59 años;Mujeres;560
Total Nacional;01 Andalucía;009-041 II.Tumores;De 60 a 64 años;Hombres;1.179
Total Nacional;01 Andalucía;009-041 II.Tumores;De 60 a 64 años;Mujeres;681
Total Nacional;01 Andalucía;009-041 II.Tumores;De 65 a 69 años;Hombres;1.470
Total Nacional;01 Andalucía;009-041 II.Tumores;De 65 a 69 años;Mujeres;841
Total Nacional;01 Andalucía;009-041 II.Tumores;De 70 a 74 años;Hombres;1.664
Total Nacional;01 Andalucía;009-041 II.Tumores;De 70 a 74 años;Mujeres;896
Total Nacional;01 Andalucía;009-041 II.Tumores;De 75 a 79 años;Hombres;2.001
Total Nacional;01 Andalucía;009-041 II.Tumores;De 75 a 79 años;Mujeres;1.086
Total Nacional;01 Andalucía;009-041 II.Tumores;De 80 a 84 años;Hombres;1.695
Total Nacional;01 Andalucía;009-041 II.Tumores;De 80 a 84 años;Mujeres;1.091
Total Nacional;01 Andalucía;009-041 II.Tumores;De 85 a 89 años;Hombres;1.261
Total Nacional;01 Andalucía;009-041 II.Tumores;De 85 a 89 años;Mujeres;1.034
Total Nacional;01 Andalucía;009-041 II.Tumores;De 90 a 94 años;Hombres;588
Total Nacional;01 Andalucía;009-041 II.Tumores;De 90 a 94 años;Mujeres;576
Total Nacional;01 Andalucía;009-041 II.Tumores;De 95 años y más;Hombres;135
Total Nacional;01 Andalucía;009-041 II.Tumores;De 95 años y más;Mujeres;160
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 1 a 14 años;Hombres;7
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 1 a 14 años;Mujeres;4
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 15 a 29 años;Hombres;10
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 15 a 29 años;Mujeres;9
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 30 a 39 años;Hombres;12
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 30 a 39 años;Mujeres;11
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 40 a 44 años;Hombres;20
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 40 a 44 años;Mujeres;8
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 45 a 49 años;Hombres;20
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 45 a 49 años;Mujeres;9
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 50 a 54 años;Hombres;23
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 50 a 54 años;Mujeres;23
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 55 a 59 años;Hombres;50
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 55 a 59 años;Mujeres;34
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 60 a 64 años;Hombres;82
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 60 a 64 años;Mujeres;67
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 65 a 69 años;Hombres;130
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 65 a 69 años;Mujeres;106
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 70 a 74 años;Hombres;171
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 70 a 74 años;Mujeres;162
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 75 a 79 años;Hombres;330
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 75 a 79 años;Mujeres;318
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 80 a 84 años;Hombres;389
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 80 a 84 años;Mujeres;555
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 85 a 89 años;Hombres;342
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 85 a 89 años;Mujeres;682
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 90 a 94 años;Hombres;210
Total Nacional;01 Andalucía;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 90 a 94 años;Mujeres;486
