Provincias;Edad (grupos quinquenales);Españoles/Extranjeros;Sexo;Periodo;Total
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2022;385.727
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2021;386.464
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2020;388.270
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2019;388.167
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2018;388.786
02 Albacete;TOTAL EDADES;TOTAL;Hombres;2022;192.963
02 Albacete;TOTAL EDADES;TOTAL;Hombres;2021;193.205
02 Albacete;TOTAL EDADES;TOTAL;Hombres;2020;194.081
02 Albacete;TOTAL EDADES;TOTAL;Hombres;2019;193.911
02 Albacete;TOTAL EDADES;TOTAL;Hombres;2018;194.158
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2022;192.764
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2021;193.259
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2020;194.189
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2019;194.256
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2018;194.628
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.901.594
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.881.762
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.879.888
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.858.683
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2018;1.838.819
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Hombres;2022;941.361
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Hombres;2021;932.018
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Hombres;2020;931.856
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Hombres;2019;920.915
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Hombres;2018;911.097
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2022;960.233
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2021;949.744
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2020;948.032
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2019;937.768
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2018;927.722
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2022;740.534
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2021;731.792
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2020;727.945
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2019;716.820
