Provincias;Edad (grupos quinquenales);Españoles/Extranjeros;Sexo;Periodo;Total
02 Albacete;0-4 años;TOTAL;Hombres;2022;7.503
02 Albacete;0-4 años;TOTAL;Hombres;2021;7.733
02 Albacete;0-4 años;TOTAL;Hombres;2020;8.237
02 Albacete;0-4 años;TOTAL;Hombres;2019;8.569
02 Albacete;0-4 años;TOTAL;Hombres;2018;8.881
02 Albacete;0-4 años;TOTAL;Mujeres;2022;6.955
02 Albacete;0-4 años;TOTAL;Mujeres;2021;7.227
02 Albacete;0-4 años;TOTAL;Mujeres;2020;7.592
02 Albacete;0-4 años;TOTAL;Mujeres;2019;7.886
02 Albacete;0-4 años;TOTAL;Mujeres;2018;8.087
02 Albacete;5-9 años;TOTAL;Hombres;2022;9.318
02 Albacete;5-9 años;TOTAL;Hombres;2021;9.593
02 Albacete;5-9 años;TOTAL;Hombres;2020;9.710
02 Albacete;5-9 años;TOTAL;Hombres;2019;9.789
02 Albacete;5-9 años;TOTAL;Hombres;2018;9.979
02 Albacete;5-9 años;TOTAL;Mujeres;2022;8.633
02 Albacete;5-9 años;TOTAL;Mujeres;2021;8.773
02 Albacete;5-9 años;TOTAL;Mujeres;2020;8.900
02 Albacete;5-9 años;TOTAL;Mujeres;2019;9.198
02 Albacete;5-9 años;TOTAL;Mujeres;2018;9.447
02 Albacete;10-14 años;TOTAL;Hombres;2022;10.430
02 Albacete;10-14 años;TOTAL;Hombres;2021;10.427
02 Albacete;10-14 años;TOTAL;Hombres;2020;10.407
02 Albacete;10-14 años;TOTAL;Hombres;2019;10.371
02 Albacete;10-14 años;TOTAL;Hombres;2018;10.285
02 Albacete;10-14 años;TOTAL;Mujeres;2022;9.774
02 Albacete;10-14 años;TOTAL;Mujeres;2021;9.898
02 Albacete;10-14 años;TOTAL;Mujeres;2020;9.815
02 Albacete;10-14 años;TOTAL;Mujeres;2019;9.593
02 Albacete;10-14 años;TOTAL;Mujeres;2018;9.612
02 Albacete;15-19 años;TOTAL;Hombres;2022;10.412
02 Albacete;15-19 años;TOTAL;Hombres;2021;10.306
02 Albacete;15-19 años;TOTAL;Hombres;2020;10.349
02 Albacete;15-19 años;TOTAL;Hombres;2019;10.374
02 Albacete;15-19 años;TOTAL;Hombres;2018;10.382
02 Albacete;15-19 años;TOTAL;Mujeres;2022;9.807
02 Albacete;15-19 años;TOTAL;Mujeres;2021;9.744
02 Albacete;15-19 años;TOTAL;Mujeres;2020;9.863
02 Albacete;15-19 años;TOTAL;Mujeres;2019;9.945
02 Albacete;15-19 años;TOTAL;Mujeres;2018;9.900
02 Albacete;20-24 años;TOTAL;Hombres;2022;10.929
02 Albacete;20-24 años;TOTAL;Hombres;2021;10.933
02 Albacete;20-24 años;TOTAL;Hombres;2020;11.069
02 Albacete;20-24 años;TOTAL;Hombres;2019;11.019
02 Albacete;20-24 años;TOTAL;Hombres;2018;10.961
02 Albacete;20-24 años;TOTAL;Mujeres;2022;10.190
02 Albacete;20-24 años;TOTAL;Mujeres;2021;10.188
02 Albacete;20-24 años;TOTAL;Mujeres;2020;10.141
02 Albacete;20-24 años;TOTAL;Mujeres;2019;10.087
02 Albacete;20-24 años;TOTAL;Mujeres;2018;10.118
02 Albacete;25-29 años;TOTAL;Hombres;2022;11.213
02 Albacete;25-29 años;TOTAL;Hombres;2021;11.365
02 Albacete;25-29 años;TOTAL;Hombres;2020;11.471
02 Albacete;25-29 años;TOTAL;Hombres;2019;11.523
02 Albacete;25-29 años;TOTAL;Hombres;2018;11.675
02 Albacete;25-29 años;TOTAL;Mujeres;2022;9.966
02 Albacete;25-29 años;TOTAL;Mujeres;2021;10.160
02 Albacete;25-29 años;TOTAL;Mujeres;2020;10.503
02 Albacete;25-29 años;TOTAL;Mujeres;2019;10.745
02 Albacete;25-29 años;TOTAL;Mujeres;2018;10.984
02 Albacete;30-34 años;TOTAL;Hombres;2022;11.730
02 Albacete;30-34 años;TOTAL;Hombres;2021;11.826
02 Albacete;30-34 años;TOTAL;Hombres;2020;11.817
02 Albacete;30-34 años;TOTAL;Hombres;2019;11.927
02 Albacete;30-34 años;TOTAL;Hombres;2018;12.318
02 Albacete;30-34 años;TOTAL;Mujeres;2022;10.750
02 Albacete;30-34 años;TOTAL;Mujeres;2021;10.991
02 Albacete;30-34 años;TOTAL;Mujeres;2020;11.085
02 Albacete;30-34 años;TOTAL;Mujeres;2019;11.282
02 Albacete;30-34 años;TOTAL;Mujeres;2018;11.587
02 Albacete;35-39 años;TOTAL;Hombres;2022;12.679
02 Albacete;35-39 años;TOTAL;Hombres;2021;13.136
02 Albacete;35-39 años;TOTAL;Hombres;2020;13.609
02 Albacete;35-39 años;TOTAL;Hombres;2019;14.173
02 Albacete;35-39 años;TOTAL;Hombres;2018;14.907
