Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2022;10.605
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2021;10.103
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2020;9.709
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2019;9.436
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2018;9.072
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2022;28.442
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2021;27.184
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2020;26.276
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2019;25.698
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2018;24.714
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2022;16.171
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2021;15.412
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2020;14.850
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2019;14.480
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2018;13.926
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2022;13.650
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2021;13.650
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2020;12.950
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2019;12.250
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2018;12.250
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2022;12.532
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2021;11.877
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2020;11.354
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2019;11.043
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2018;10.573
Total Nacional;Andalucía;Almería;;Renta bruta media por hogar;2022;33.611
Total Nacional;Andalucía;Almería;;Renta bruta media por hogar;2021;31.958
Total Nacional;Andalucía;Almería;;Renta bruta media por hogar;2020;30.726
Total Nacional;Andalucía;Almería;;Renta bruta media por hogar;2019;30.072
Total Nacional;Andalucía;Almería;;Renta bruta media por hogar;2018;28.805
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2022;11.396
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2021;10.712
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2020;10.113
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2019;10.055
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2018;9.509
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2022;30.055
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2021;28.501
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2020;27.179
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2019;27.243
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2018;25.905
Total Nacional;Andalucía;Cádiz;;Media de la renta por unidad de consumo;2022;17.235
Total Nacional;Andalucía;Cádiz;;Media de la renta por unidad de consumo;2021;16.250
Total Nacional;Andalucía;Cádiz;;Media de la renta por unidad de consumo;2020;15.363
Total Nacional;Andalucía;Cádiz;;Media de la renta por unidad de consumo;2019;15.345
Total Nacional;Andalucía;Cádiz;;Media de la renta por unidad de consumo;2018;14.561
Total Nacional;Andalucía;Cádiz;;Mediana de la renta por unidad de consumo;2022;15.050
Total Nacional;Andalucía;Cádiz;;Mediana de la renta por unidad de consumo;2021;14.350
Total Nacional;Andalucía;Cádiz;;Mediana de la renta por unidad de consumo;2020;12.950
Total Nacional;Andalucía;Cádiz;;Mediana de la renta por unidad de consumo;2019;13.650
Total Nacional;Andalucía;Cádiz;;Mediana de la renta por unidad de consumo;2018;12.250
Total Nacional;Andalucía;Cádiz;;Renta bruta media por persona;2022;13.476
Total Nacional;Andalucía;Cádiz;;Renta bruta media por persona;2021;12.609
Total Nacional;Andalucía;Cádiz;;Renta bruta media por persona;2020;11.811
Total Nacional;Andalucía;Cádiz;;Renta bruta media por persona;2019;11.741
Total Nacional;Andalucía;Cádiz;;Renta bruta media por persona;2018;11.094
Total Nacional;Andalucía;Cádiz;;Renta bruta media por hogar;2022;35.541
Total Nacional;Andalucía;Cádiz;;Renta bruta media por hogar;2021;33.550
Total Nacional;Andalucía;Cádiz;;Renta bruta media por hogar;2020;31.741
Total Nacional;Andalucía;Cádiz;;Renta bruta media por hogar;2019;31.811
Total Nacional;Andalucía;Cádiz;;Renta bruta media por hogar;2018;30.224
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2022;11.569
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2021;10.979
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2020;10.314
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2019;10.182
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2018;9.710
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2022;29.082
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2021;27.909
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2020;26.462
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2019;26.299
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2018;25.246
Total Nacional;Andalucía;Córdoba;;Media de la renta por unidad de consumo;2022;17.269
Total Nacional;Andalucía;Córdoba;;Media de la renta por unidad de consumo;2021;16.439
Total Nacional;Andalucía;Córdoba;;Media de la renta por unidad de consumo;2020;15.458
Total Nacional;Andalucía;Córdoba;;Media de la renta por unidad de consumo;2019;15.318
Total Nacional;Andalucía;Córdoba;;Media de la renta por unidad de consumo;2018;14.635
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2022;15.050
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2021;14.350
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2020;12.950
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2019;12.950
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2018;12.250
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2022;13.652
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2021;12.895
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2020;12.019
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2019;11.874
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2018;11.317
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2022;34.316
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2021;32.782
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2020;30.839
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2019;30.671
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2018;29.424
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2022;11.754
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2021;11.100
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2020;10.463
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2019;10.380
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2018;9.885
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2022;29.113
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2021;27.748
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2020;26.373
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2019;26.342
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2018;25.190
