Total Nacional;Comunidades y Ciudades Autónomas;Situación laboral;Total
Total Nacional;01 Andalucía;Total;506,90
Total Nacional;01 Andalucía;Colegiados no jubilados;418,30
Total Nacional;01 Andalucía;Colegiados jubilados;88,60
Total Nacional;01 Andalucía;No consta;0,00
Total Nacional;02 Aragón;Total;703,39
Total Nacional;02 Aragón;Colegiados no jubilados;564,86
Total Nacional;02 Aragón;Colegiados jubilados;138,53
Total Nacional;02 Aragón;No consta;0,00
Total Nacional;03 Asturias, Principado de;Total;674,73
Total Nacional;03 Asturias, Principado de;Colegiados no jubilados;537,36
Total Nacional;03 Asturias, Principado de;Colegiados jubilados;137,37
Total Nacional;03 Asturias, Principado de;No consta;0,00
Total Nacional;04 Balears, Illes;Total;499,10
Total Nacional;04 Balears, Illes;Colegiados no jubilados;438,60
Total Nacional;04 Balears, Illes;Colegiados jubilados;60,49
Total Nacional;04 Balears, Illes;No consta;0,00
Total Nacional;05 Canarias;Total;525,71
Total Nacional;05 Canarias;Colegiados no jubilados;468,43
Total Nacional;05 Canarias;Colegiados jubilados;57,28
Total Nacional;05 Canarias;No consta;0,00
Total Nacional;06 Cantabria;Total;649,26
Total Nacional;06 Cantabria;Colegiados no jubilados;538,71
Total Nacional;06 Cantabria;Colegiados jubilados;110,55
Total Nacional;06 Cantabria;No consta;0,00
Total Nacional;07 Castilla y León;Total;647,85
Total Nacional;07 Castilla y León;Colegiados no jubilados;509,67
Total Nacional;07 Castilla y León;Colegiados jubilados;138,18
Total Nacional;07 Castilla y León;No consta;0,00
Total Nacional;08 Castilla - La Mancha;Total;458,64
Total Nacional;08 Castilla - La Mancha;Colegiados no jubilados;389,51
Total Nacional;08 Castilla - La Mancha;Colegiados jubilados;69,13
Total Nacional;08 Castilla - La Mancha;No consta;0,00
Total Nacional;09 Cataluña;Total;590,73
Total Nacional;09 Cataluña;Colegiados no jubilados;486,34
Total Nacional;09 Cataluña;Colegiados jubilados;104,40
Total Nacional;09 Cataluña;No consta;0,00
Total Nacional;10 Comunitat Valenciana;Total;544,62
Total Nacional;10 Comunitat Valenciana;Colegiados no jubilados;455,91
Total Nacional;10 Comunitat Valenciana;Colegiados jubilados;88,71
Total Nacional;10 Comunitat Valenciana;No consta;0,00
Total Nacional;11 Extremadura;Total;557,17
Total Nacional;11 Extremadura;Colegiados no jubilados;485,27
Total Nacional;11 Extremadura;Colegiados jubilados;71,90
Total Nacional;11 Extremadura;No consta;0,00
Total Nacional;12 Galicia;Total;549,18
Total Nacional;12 Galicia;Colegiados no jubilados;464,46
Total Nacional;12 Galicia;Colegiados jubilados;84,72
Total Nacional;12 Galicia;No consta;0,00
Total Nacional;13 Madrid, Comunidad de;Total;699,10
Total Nacional;13 Madrid, Comunidad de;Colegiados no jubilados;616,09
Total Nacional;13 Madrid, Comunidad de;Colegiados jubilados;83,01
Total Nacional;13 Madrid, Comunidad de;No consta;0,00
Total Nacional;14 Murcia, Región de;Total;528,73
Total Nacional;14 Murcia, Región de;Colegiados no jubilados;473,51
Total Nacional;14 Murcia, Región de;Colegiados jubilados;55,22
Total Nacional;14 Murcia, Región de;No consta;0,00
Total Nacional;15 Navarra, Comunidad Foral de;Total;664,25
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados no jubilados;544,91
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados jubilados;119,34
Total Nacional;15 Navarra, Comunidad Foral de;No consta;0,00
Total Nacional;16 País Vasco;Total;673,87
Total Nacional;16 País Vasco;Colegiados no jubilados;560,36
Total Nacional;16 País Vasco;Colegiados jubilados;113,51
Total Nacional;16 País Vasco;No consta;0,00
Total Nacional;17 Rioja, La;Total;564,33
Total Nacional;17 Rioja, La;Colegiados no jubilados;454,17
Total Nacional;17 Rioja, La;Colegiados jubilados;110,15
Total Nacional;17 Rioja, La;No consta;0,00
Total Nacional;18 Ceuta;Total;416,46
Total Nacional;18 Ceuta;Colegiados no jubilados;376,01
Total Nacional;18 Ceuta;Colegiados jubilados;40,46
Total Nacional;18 Ceuta;No consta;0,00
Total Nacional;19 Melilla;Total;390,36
Total Nacional;19 Melilla;Colegiados no jubilados;355,95
Total Nacional;19 Melilla;Colegiados jubilados;34,41
Total Nacional;19 Melilla;No consta;0,00
