CCAA de colegiación;Situación laboral;Total
TOTAL;Total;598,91
TOTAL;Colegiados no jubilados;498,99
TOTAL;Colegiados jubilados;99,92
TOTAL;No consta;0
Andalucía;Total;524,73
Andalucía;Colegiados no jubilados;432,25
Andalucía;Colegiados jubilados;92,48
Andalucía;No consta;0
Aragón;Total;724,73
Aragón;Colegiados no jubilados;579,8
Aragón;Colegiados jubilados;144,93
Aragón;No consta;0
Asturias, Principado de;Total;700,25
Asturias, Principado de;Colegiados no jubilados;543,22
Asturias, Principado de;Colegiados jubilados;157,04
Asturias, Principado de;No consta;0
Balears, Illes;Total;516,92
Balears, Illes;Colegiados no jubilados;450,4
Balears, Illes;Colegiados jubilados;66,51
Balears, Illes;No consta;0
Canarias;Total;543,25
Canarias;Colegiados no jubilados;483,73
Canarias;Colegiados jubilados;59,52
Canarias;No consta;0
Cantabria;Total;663,63
Cantabria;Colegiados no jubilados;546,09
Cantabria;Colegiados jubilados;117,53
Cantabria;No consta;0
Castilla y León;Total;660,19
Castilla y León;Colegiados no jubilados;511,47
Castilla y León;Colegiados jubilados;148,72
Castilla y León;No consta;0
Castilla-La Mancha;Total;471,24
Castilla-La Mancha;Colegiados no jubilados;396,16
Castilla-La Mancha;Colegiados jubilados;75,08
Castilla-La Mancha;No consta;0
Cataluña;Total;609,35
Cataluña;Colegiados no jubilados;494,82
Cataluña;Colegiados jubilados;114,54
Cataluña;No consta;0
Comunidad Valenciana;Total;559,74
Comunidad Valenciana;Colegiados no jubilados;464,15
Comunidad Valenciana;Colegiados jubilados;95,59
Comunidad Valenciana;No consta;0
Extremadura;Total;574,09
Extremadura;Colegiados no jubilados;487,33
Extremadura;Colegiados jubilados;86,76
Extremadura;No consta;0
Galicia;Total;562,55
Galicia;Colegiados no jubilados;469,15
Galicia;Colegiados jubilados;93,4
Galicia;No consta;0
Madrid, Comunidad de;Total;713,4
Madrid, Comunidad de;Colegiados no jubilados;622,69
Madrid, Comunidad de;Colegiados jubilados;90,7
Madrid, Comunidad de;No consta;0
Murcia, Región de;Total;542,06
Murcia, Región de;Colegiados no jubilados;483,3
Murcia, Región de;Colegiados jubilados;58,76
Murcia, Región de;No consta;0
Navarra, Comunidad Foral de;Total;685,51
Navarra, Comunidad Foral de;Colegiados no jubilados;558,07
Navarra, Comunidad Foral de;Colegiados jubilados;127,44
Navarra, Comunidad Foral de;No consta;0
País Vasco;Total;692,52
País Vasco;Colegiados no jubilados;567,82
País Vasco;Colegiados jubilados;124,7
País Vasco;No consta;0
Rioja, La;Total;579,87
Rioja, La;Colegiados no jubilados;458,64
Rioja, La;Colegiados jubilados;121,23
Rioja, La;No consta;0
Ceuta;Total;426,11
Ceuta;Colegiados no jubilados;378,9
Ceuta;Colegiados jubilados;47,21
Ceuta;No consta;0
Melilla;Total;392,84
Melilla;Colegiados no jubilados;353,19
Melilla;Colegiados jubilados;39,64
Melilla;No consta;0
