Nacional;Comunidades y Ciudades Autónomas;Causa de muerte (capítulos de la 10ª revisión de la CIE);Tipo de indicador;Sexo;Total
Total Nacional;01 Andalucía;Enfermedades infecciosas y parasitarias;Nº de APVP;Hombres;6.227,00
Total Nacional;01 Andalucía;Enfermedades infecciosas y parasitarias;Nº de APVP;Mujeres;2.959,50
Total Nacional;01 Andalucía;Enfermedades infecciosas y parasitarias;Distribución por capítulos de la CIE;Hombres;2,23
Total Nacional;01 Andalucía;Enfermedades infecciosas y parasitarias;Distribución por capítulos de la CIE;Mujeres;2,07
Total Nacional;01 Andalucía;Enfermedades infecciosas y parasitarias;Tasa estandarizada de APVP (tanto por cien mil);Hombres;149,72
Total Nacional;01 Andalucía;Enfermedades infecciosas y parasitarias;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;68,89
Total Nacional;01 Andalucía;Enfermedades infecciosas y parasitarias;Nº medio de APVP;Hombres;13,45
Total Nacional;01 Andalucía;Enfermedades infecciosas y parasitarias;Nº medio de APVP;Mujeres;11,04
Total Nacional;01 Andalucía;Tumores;Nº de APVP;Hombres;97.254,50
Total Nacional;01 Andalucía;Tumores;Nº de APVP;Mujeres;68.823,00
Total Nacional;01 Andalucía;Tumores;Distribución por capítulos de la CIE;Hombres;34,80
Total Nacional;01 Andalucía;Tumores;Distribución por capítulos de la CIE;Mujeres;48,10
Total Nacional;01 Andalucía;Tumores;Tasa estandarizada de APVP (tanto por cien mil);Hombres;2.351,59
Total Nacional;01 Andalucía;Tumores;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;1.551,19
Total Nacional;01 Andalucía;Tumores;Nº medio de APVP;Hombres;12,52
Total Nacional;01 Andalucía;Tumores;Nº medio de APVP;Mujeres;14,36
Total Nacional;01 Andalucía;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº de APVP;Hombres;1.227,50
Total Nacional;01 Andalucía;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº de APVP;Mujeres;480,00
Total Nacional;01 Andalucía;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Distribución por capítulos de la CIE;Hombres;0,44
Total Nacional;01 Andalucía;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Distribución por capítulos de la CIE;Mujeres;0,34
Total Nacional;01 Andalucía;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Tasa estandarizada de APVP (tanto por cien mil);Hombres;29,34
Total Nacional;01 Andalucía;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;11,05
Total Nacional;01 Andalucía;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº medio de APVP;Hombres;15,54
Total Nacional;01 Andalucía;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº medio de APVP;Mujeres;11,43
Total Nacional;01 Andalucía;Enfermedades endocrinas, nutricionales y metabólicas;Nº de APVP;Hombres;6.807,00
Total Nacional;01 Andalucía;Enfermedades endocrinas, nutricionales y metabólicas;Nº de APVP;Mujeres;3.127,50
Total Nacional;01 Andalucía;Enfermedades endocrinas, nutricionales y metabólicas;Distribución por capítulos de la CIE;Hombres;2,44
Total Nacional;01 Andalucía;Enfermedades endocrinas, nutricionales y metabólicas;Distribución por capítulos de la CIE;Mujeres;2,19
Total Nacional;01 Andalucía;Enfermedades endocrinas, nutricionales y metabólicas;Tasa estandarizada de APVP (tanto por cien mil);Hombres;166,41
Total Nacional;01 Andalucía;Enfermedades endocrinas, nutricionales y metabólicas;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;72,99
Total Nacional;01 Andalucía;Enfermedades endocrinas, nutricionales y metabólicas;Nº medio de APVP;Hombres;12,72
Total Nacional;01 Andalucía;Enfermedades endocrinas, nutricionales y metabólicas;Nº medio de APVP;Mujeres;9,45
Total Nacional;01 Andalucía;Trastornos mentales y del comportamiento;Nº de APVP;Hombres;2.715,00
Total Nacional;01 Andalucía;Trastornos mentales y del comportamiento;Nº de APVP;Mujeres;1.312,50
Total Nacional;01 Andalucía;Trastornos mentales y del comportamiento;Distribución por capítulos de la CIE;Hombres;0,97
Total Nacional;01 Andalucía;Trastornos mentales y del comportamiento;Distribución por capítulos de la CIE;Mujeres;0,92
Total Nacional;01 Andalucía;Trastornos mentales y del comportamiento;Tasa estandarizada de APVP (tanto por cien mil);Hombres;66,32
Total Nacional;01 Andalucía;Trastornos mentales y del comportamiento;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;31,15
